	0	0.000
763	5	0.000
764	5	0.000
763	5	0.000
766	5	0.000
766	5	0.000
766	5	0.000
769	5	0.000
768	5	0.000
769	5	0.000
754	5	0.000
735	5	0.000
762	5	0.000
754	5	0.000
749	5	0.000
762	5	0.000
748	5	0.000
727	5	0.000
760	5	0.000
722	5	0.000
733	5	0.000
727	5	0.000
721	5	0.000
728	5	0.000
733	5	0.000
728	5	0.000
735	5	0.000
738	5	0.000
713	5	0.000
727	5	0.000
710	5	0.000
710	5	0.000
713	5	0.000
702	5	0.000
721	5	0.000
710	6	0.000
719	5	0.000
379	5	0.000
572	5	0.000
683	5	0.000
693	5	0.000
720	5	0.000
721	5	0.000
721	5	0.000
694	6	0.000
703	6	0.000
372	5	0.000
240	5	0.000
523	6	0.000
651	5	0.000
348	5	0.000
541	5	0.000
643	6	0.000
679	5	0.000
347	5	0.000
536	6	0.000
644	6	0.000
311	6	0.000
217	6	0.000
169	6	0.000
156	6	0.000
138	6	0.000
156	5	0.000
137	5	0.000
449	5	0.000
578	5	0.000
623	5	0.000
637	5	0.000
609	5	0.000
636	5	0.000
621	5	0.000
621	5	0.000
636	5	0.000
636	5	0.000
618	5	0.000
648	5	0.000
631	5	0.000
633	5	0.000
632	5	0.000
631	5	0.000
631	5	0.000
632	5	0.000
632	5	0.000
647	5	0.000
648	5	0.000
632	5	0.000
648	5	0.000
633	5	0.000
617	5	0.000
634	5	0.000
652	5	0.000
635	5	0.000
